​ A-Frame:error This HTML file is currently being served via the file:// protocol. Assets, textures, and models WILL NOT WORK due to cross-origin policy! Please use a local or hosted server: https://aframe.io/docs/0.5.0/introduction/getting-started.html#using-a-local-server. 
​ A-Frame Version: 1.1.0 (Date 2020-12-03, Commit #8aefd214)
​ THREE Version (https://github.com/supermedium/three.js): ^0.123.1
​ WebVR Polyfill Version: ^0.10.12
​ ~id,trial,time-ms,delta-ms,time-sec,left-valid,left-x,left-y,left-z,left-pitch,left-roll,left-yaw,left-direction-x,left-direction-y,left-direction-z,left-speed-x,left-speed-y,left-speed-z,left-grab,right-valid,right-x,right-y,right-z,right-pitch,right-roll,right-yaw,right-direction-x,right-direction-y,right-direction-z,right-speed-x,right-speed-y,right-speed-z,right-grab
​ ~0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,5.5,5.5,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ Optimized for head mounted display usage.
​ ~0,0,13.699999988079071,8.199999988079071,0,Y,0.07428658299999999,0.01639917399999996,-0.252744339,1.1711522191643127,-2.7100233001876064,-0.3133810490780854,-0.125098,0.9139629999999999,-0.3860340000000002,-248.805634,381.7573549999999,-501.72467000000006,0,Y,-0.07854641,0.02376382299999996,-0.24757832300000004,1.0661303187101525,2.670440417078894,-0.004126020506122018,-0.001995,0.8753339999999998,-0.4835140000000002,505.78244,50.29065299999992,-360.35376,0.396651
​ ~0,0,117.5,103.80000001192093,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,129.10000002384186,11.600000023841858,0,Y,-0.046966496,0.04087886799999996,-0.275445877,1.079565020226437,-3.0230855530881433,0.39121073188924377,0.190986,0.8655219999999999,-0.4630290000000002,-10.41363,169.11828599999998,-148.67215000000002,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,146.00000000000003,16.899999976158142,0,Y,-0.047447712,0.04371731599999996,-0.277031219,1.0960320237252739,-3.032799059353126,0.3505723580451433,0.164874,0.8772289999999999,-0.45087300000000025,-32.601074,157.911728,-60.728580000000036,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,162.50000000000003,16.5,0,Y,-0.048075081,0.04536815299999996,-0.276585495,1.1033807853409572,-3.039250797363469,0.3081596646727898,0.141967,0.8836939999999999,-0.4460170000000002,-34.664989,91.21637,24.62795599999998,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,179.1000000238419,16.600000023841858,0,Y,-0.048421295,0.04571856699999996,-0.275660812,1.1083167233695999,-3.0377453703137567,0.2893517105288585,0.131671,0.8871569999999999,-0.44228400000000023,-37.958111,38.418480000000024,101.37979899999999,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,195.80000001192093,16.69999998807907,0,Y,-0.048907806000000005,0.046507014999999964,-0.273652191,1.1193876497523603,-3.0301240680160637,0.2713840055268731,0.120497,0.8932769999999999,-0.43305500000000025,-28.96908,50.64687000000002,102.52541399999998,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,212.50000000000003,16.69999998807907,0,Y,-0.049392441,0.04661007299999996,-0.272804642,1.1299571497247949,-3.0468160014896077,0.27505711971667746,0.119555,0.8979069999999999,-0.42363800000000024,-29.768122,7.988139000000009,38.833576,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,229.6999999880791,17.19999998807907,0,Y,-0.050065895,0.04665804699999996,-0.272405914,1.1320879436335511,-3.0786574685347206,0.272606438890294,0.117923,0.8989849999999999,-0.4218070000000002,-39.587067,-0.8263519999999963,16.338436,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,245.90000003576282,16.200000047683716,0,Y,-0.050803375000000005,0.046215674999999956,-0.271927429,1.1241152065656248,-3.0999880456427,0.26169237966322906,0.114931,0.8959089999999998,-0.4291120000000002,-41.647018,-25.787963999999995,23.03130000000001,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,262.69999998807907,16.799999952316284,0,Y,-0.051614357,0.045548079999999956,-0.271443787,1.1127017787181828,-3.1193043789250674,0.24773123394143198,0.111161,0.8913379999999999,-0.4394990000000002,-44.536358,-39.06030299999999,27.566126000000008,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,279.40000003576284,16.700000047683716,0,Y,-0.051978901,0.04524290099999996,-0.271199921,1.107001139828552,-3.1263397127847647,0.24203322437839273,0.10977,0.8889559999999999,-0.4446420000000002,-38.805737,-32.48683199999999,25.959667000000007,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,296.00000000000006,16.599999964237213,0,Y,-0.052803814000000004,0.04460300099999996,-0.271176636,1.0991425737651848,-3.132302285626254,0.23180662399427446,0.10664,0.8857379999999999,-0.4517690000000002,-46.73859,-34.087048,-4.583003999999992,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,312.800000011921,16.80000001192093,0,Y,-0.05354690200000001,0.04391862499999996,-0.271374664,1.095583513164503,-3.126374221398106,0.22293821439441291,0.103171,0.8844499999999998,-0.4550860000000002,-39.914249,-40.850948,-6.252398999999991,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,329.40000003576284,16.600000023841858,0,Y,-0.054178787,0.04305684299999996,-0.271450546,1.0975955984180819,-3.111869857942355,0.21905399483949456,0.100941,0.8855679999999999,-0.4534100000000002,-33.989059,-50.525116,-3.535150999999989,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,346.100000023842,16.69999998807907,0,Y,-0.054662571,0.04207572599999996,-0.271418762,1.1059979366921122,-3.0936557292179234,0.22326810864618518,0.101252,0.8893179999999999,-0.4459390000000002,-22.104048,-55.081932,1.8219100000000121,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,362.80000001192104,16.69999998807907,0,Y,-0.05506032600000001,0.041147059999999964,-0.27153620900000003,1.115468068237146,-3.077788490216774,0.23517818031808319,0.104791,0.8931719999999999,-0.4373360000000002,-23.131161,-38.197601,-12.382397999999991,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,379.5000000000001,16.69999998807907,0,Y,-0.055261639,0.04003668599999996,-0.272074829,1.1236905025123625,-3.0753430235229198,0.2524260305299252,0.11083,0.8961469999999999,-0.42969400000000024,-9.497588,-50.43893800000001,-29.810462999999988,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,396.1999999880792,16.69999998807907,0,Y,-0.055332577,0.039544181999999956,-0.2723013,1.1275282743444415,-3.078741511340308,0.26263706218952965,0.114548,0.8974089999999999,-0.4260710000000002,-7.851618,-54.510887000000004,-25.06507899999999,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,412.90000003576296,16.700000047683716,0,Y,-0.055387455,0.038598430999999954,-0.272665878,1.1341409255600594,-3.085093156798282,0.2823265094534381,0.121763,0.8994279999999999,-0.41976400000000025,-4.048815,-53.739918,-14.853954999999987,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,429.60000002384203,16.69999998807907,0,Y,-0.05545789,0.037546973999999955,-0.272784988,1.139286465857249,-3.075610045010812,0.2985314558722384,0.127652,0.9009039999999999,-0.4148210000000002,-2.618589,-57.123432,-1.5562819999999873,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,446.3000000119211,16.69999998807907,0,Y,-0.055613529,0.036553599999999964,-0.27278801,1.1397249652714092,-3.0562450260374328,0.30330685960449366,0.129666,0.9008489999999999,-0.4143170000000002,-12.410297,-65.359177,0.2994280000000145,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,463.00000000000017,16.69999998807907,0,Y,-0.055800812,0.03549570799999996,-0.272745087,1.1355405607119575,-3.0388589111012707,0.301443111958727,0.129984,0.8990689999999999,-0.41806500000000024,-9.258588,-56.313251,2.3065180000000125,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,479.6999999880793,16.69999998807907,0,Y,-0.055990051,0.03441596199999996,-0.27268309,1.1277780821189296,-3.03273236862476,0.2916913356327347,0.127657,0.8960699999999999,-0.42516100000000023,-9.246066,-57.520889,4.768458000000012,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,496.400000035763,16.700000047683716,0,Y,-0.056066242,0.03338240099999996,-0.272354279,1.1245516423044362,-3.0266149027886535,0.286225939232245,0.126005,0.8948839999999999,-0.4281410000000002,1.368183,-60.044990999999996,21.995575000000013,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,513.1000000238421,16.69999998807907,0,Y,-0.056103191000000004,0.032850223999999956,-0.272146393,1.1236570931977883,-3.021914321076727,0.2843111609983758,0.125359,0.8945749999999999,-0.4289770000000002,-4.123336,-59.387961999999995,23.197666000000016,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,529.900000035763,16.80000001192093,0,Y,-0.056212872,0.03189042299999996,-0.271697678,1.1230183979438475,-3.004847176983494,0.28115514589031254,0.124076,0.8944459999999999,-0.4296180000000002,-4.759964,-53.223811999999995,24.44619200000001,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,546.5000000000002,16.599999964237213,0,Y,-0.056235996,0.031057549999999958,-0.271359589,1.1197412653089571,-2.98524208745661,0.27654242132618667,0.122783,0.8931779999999999,-0.4326170000000002,2.363846,-42.118697999999995,20.40839800000001,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,563.400000035763,16.900000035762787,0,Y,-0.056158978,0.030370273999999958,-0.271032944,1.1145282169499595,-2.967785864661051,0.2748509015637661,0.123296,0.8908529999999999,-0.4372390000000002,2.107645,-35.758162999999996,22.432350000000007,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,580.0000000000002,16.599999964237213,0,Y,-0.055461436999999995,0.02982386799999996,-0.271074402,1.1089353145539418,-2.954333698311857,0.28635261013880153,0.130094,0.8876169999999999,-0.4418280000000002,40.058033,-26.602448,-3.466861999999994,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,596.6999999880792,16.69999998807907,0,Y,-0.054551720000000005,0.029205207999999958,-0.271247467,1.093561615258382,-2.9625576493636565,0.3017216182014675,0.141514,0.8793289999999999,-0.4547020000000002,52.903023,-35.085815,-9.904067999999993,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
